pincode,statename,district,latitude,longitude,track_count,max_wind,decay_score,track_norm,wind_norm,decay_norm,cyclone_score,risk_level,cyclone_explanation
110001,DELHI,NEW DELHI,28.6198611,77.2129166,41,25.0,0.1808373894238447,6.9727891156462585,16.666666666666668,3.492370576496783,9.5,Very Low,"Minimal cyclone history within 200 km. Only 41 storm track points recorded nearby, with peak winds of 25 knots. This area is largely sheltered from tropical cyclone paths."
110002,DELHI,CENTRAL,28.6339722,77.24025,41,25.0,0.1816479943782623,6.9727891156462585,16.666666666666668,3.5080251537995726,9.5,Very Low,"Minimal cyclone history within 200 km. Only 41 storm track points recorded nearby, with peak winds of 25 knots. This area is largely sheltered from tropical cyclone paths."
110003,DELHI,NEW DELHI,28.5892639,77.22952775,40,25.0,0.2405007138719551,6.802721088435374,16.666666666666668,4.644601536379723,9.72,Very Low,"Minimal cyclone history within 200 km. Only 40 storm track points recorded nearby, with peak winds of 25 knots. This area is largely sheltered from tropical cyclone paths."
110004,DELHI,NEW DELHI,28.6210833,77.1961389,40,25.0,0.168944292202419,6.802721088435374,16.666666666666668,3.2626885238424315,9.37,Very Low,"Minimal cyclone history within 200 km. Only 40 storm track points recorded nearby, with peak winds of 25 knots. This area is largely sheltered from tropical cyclone paths."
110005,DELHI,CENTRAL,28.6517917,77.1869722,39,25.0,0.1457551242750521,6.63265306122449,16.666666666666668,2.8148543230668017,9.19,Very Low,"Minimal cyclone history within 200 km. Only 39 storm track points recorded nearby, with peak winds of 25 knots. This area is largely sheltered from tropical cyclone paths."
110006,DELHI,NORTH,28.6560972,77.22552775,41,25.0,0.1571211069066498,6.9727891156462585,16.666666666666668,3.0343566253397576,9.38,Very Low,"Minimal cyclone history within 200 km. Only 41 storm track points recorded nearby, with peak winds of 25 knots. This area is largely sheltered from tropical cyclone paths."
110007,DELHI,NORTH,28.6765833,77.2061111,39,25.0,0.1402785312181931,6.63265306122449,16.666666666666668,2.709089179519008,9.16,Very Low,"Minimal cyclone history within 200 km. Only 39 storm track points recorded nearby, with peak winds of 25 knots. This area is largely sheltered from tropical cyclone paths."
110008,DELHI,WEST,28.6472222,77.1695,38,25.0,0.1415694030449679,6.462585034013605,16.666666666666668,2.734018774002873,9.1,Very Low,"Minimal cyclone history within 200 km. Only 38 storm track points recorded nearby, with peak winds of 25 knots. This area is largely sheltered from tropical cyclone paths."
110009,DELHI,NORTH,28.7062778,77.202111,39,25.0,0.1302310516482751,6.63265306122449,16.666666666666668,2.515050092083988,9.12,Very Low,"Minimal cyclone history within 200 km. Only 39 storm track points recorded nearby, with peak winds of 25 knots. This area is largely sheltered from tropical cyclone paths."
110010,DELHI,NEW DELHI,28.58325,77.13,41,25.0,0.1477994125605773,6.9727891156462585,16.666666666666668,2.854334058319516,9.34,Very Low,"Minimal cyclone history within 200 km. Only 41 storm track points recorded nearby, with peak winds of 25 knots. This area is largely sheltered from tropical cyclone paths."
110011,DELHI,NEW DELHI,28.6109861,77.21380554999999,41,25.0,0.1908826943677818,6.9727891156462585,16.666666666666668,3.6863676670869294,9.54,Very Low,"Minimal cyclone history within 200 km. Only 41 storm track points recorded nearby, with peak winds of 25 knots. This area is largely sheltered from tropical cyclone paths."
110012,DELHI,WEST,28.6368611,77.1659722,39,25.0,0.1449263423835274,6.63265306122449,16.666666666666668,2.7988487088433485,9.19,Very Low,"Minimal cyclone history within 200 km. Only 39 storm track points recorded nearby, with peak winds of 25 knots. This area is largely sheltered from tropical cyclone paths."
110013,DELHI,South East,28.5894861,77.2464583,41,25.0,0.2640410652416966,6.9727891156462585,16.666666666666668,5.099217867360891,9.9,Very Low,"Minimal cyclone history within 200 km. Only 41 storm track points recorded nearby, with peak winds of 25 knots. This area is largely sheltered from tropical cyclone paths."
110014,DELHI,South East,28.5814722,77.2560139,41,25.0,0.3043351506406604,6.9727891156462585,16.666666666666668,5.877385914923043,10.09,Very Low,"Minimal cyclone history within 200 km. Only 41 storm track points recorded nearby, with peak winds of 25 knots. This area is largely sheltered from tropical cyclone paths."
110015,DELHI,WEST,28.6591944,77.1356389,39,25.0,0.129543618415721,6.63265306122449,16.666666666666668,2.501774233577477,9.11,Very Low,"Minimal cyclone history within 200 km. Only 39 storm track points recorded nearby, with peak winds of 25 knots. This area is largely sheltered from tropical cyclone paths."
110016,DELHI,SOUTH,28.54448005,77.19859389999999,40,25.0,0.2613180462827479,6.802721088435374,16.666666666666668,5.046630339296181,9.82,Very Low,"Minimal cyclone history within 200 km. Only 40 storm track points recorded nearby, with peak winds of 25 knots. This area is largely sheltered from tropical cyclone paths."
110017,DELHI,SOUTH,28.53174045,77.21460099999999,40,25.0,0.33785624893008,6.802721088435374,16.666666666666668,6.524752578038505,10.19,Very Low,"Minimal cyclone history within 200 km. Only 40 storm track points recorded nearby, with peak winds of 25 knots. This area is largely sheltered from tropical cyclone paths."
110018,DELHI,WEST,28.64675,77.09937500000001,39,25.0,0.123827975597529,6.63265306122449,16.666666666666668,2.3913925096009483,9.08,Very Low,"Minimal cyclone history within 200 km. Only 39 storm track points recorded nearby, with peak winds of 25 knots. This area is largely sheltered from tropical cyclone paths."
